price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,tps
11489.09,3300000.0,19000000000000.0,16816719.05,15015593.92,16646124.84,28281146.0,784000000.0,722000000.0,3.56
11474.38,2000000.0,19000000000000.0,16818792.11,15017394.62,16653925.83,28101115.0,708000000.0,822000000.0,2.81
12512.86,1900000.0,21000000000000.0,16821023.62,15019388.41,16669144.63,27963067.0,682000000.0,470000000.0,2.74
11837.87,2100000.0,19000000000000.0,16823365.39,15021933.62,16663799.86,27754936.0,349000000.0,408000000.0,2.52
10919.18,2500000.0,18000000000000.0,16825456.47,15024259.53,16661228.41,27638851.0,483000000.0,453000000.0,2.89
10710.33,2200000.0,18000000000000.0,16827674.81,15025817.99,16665373.49,27525093.0,466000000.0,480000000.0,3.08
11049.64,1700000.0,18000000000000.0,16829878.78,15028175.22,16672491.58,27434751.0,473000000.0,480000000.0,2.91
11311.5,1400000.0,19000000000000.0,16831857.24,15029871.04,16674244.51,27375467.0,467000000.0,400000000.0,2.76
10907.13,2200000.0,18000000000000.0,16833797.36,15031126.14,16674686.78,27309865.0,666000000.0,656000000.0,2.53
11274.82,1300000.0,19000000000000.0,16835762.06,15032655.29,16680919.46,27295861.0,269000000.0,285000000.0,2.23
11683.0,1300000.0,19000000000000.0,16837740.79,15034972.63,16685132.07,27266045.0,355000000.0,386000000.0,2.47
11295.93,1100000.0,19000000000000.0,16839593.08,15036725.23,16683135.41,27252372.0,384000000.0,386000000.0,2.66
10437.23,2200000.0,17000000000000.0,16841683.04,15038873.47,16664414.55,27192868.0,427000000.0,447000000.0,2.77
9988.84,1600000.0,16000000000000.0,16843151.4,15040551.03,16674951.17,27206731.0,400000000.0,454000000.0,2.41
9350.8,2700000.0,15000000000000.0,16845157.44,15043359.99,16656644.32,27208439.0,735000000.0,531000000.0,2.92
8530.62,3600000.0,14000000000000.0,16847260.15,15046020.66,16657059.61,27142662.0,878000000.0,655000000.0,2.75
8935.24,1600000.0,15000000000000.0,16849246.48,15046987.44,16665057.81,27062866.0,332000000.0,338000000.0,2.21
8517.33,1900000.0,14000000000000.0,16851479.18,15049431.27,16658039.8,26935765.0,467000000.0,253000000.0,2.0
7387.51,3400000.0,12000000000000.0,16853797.91,15051570.3,16641825.72,26745355.0,541000000.0,522000000.0,2.56
6845.57,4700000.0,11000000000000.0,16855925.93,15054397.12,16658696.81,26613072.0,736000000.0,551000000.0,2.84
7952.64,3000000.0,13000000000000.0,16857694.42,15055045.96,16659077.45,26521315.0,364000000.0,370000000.0,2.4
8229.95,1800000.0,13000000000000.0,16859337.7,15058172.11,16669437.07,26403919.0,388000000.0,354000000.0,2.05
8300.87,1500000.0,14000000000000.0,16861026.26,15059413.47,16677155.51,26329327.0,355000000.0,525000000.0,2.07
8628.6,1800000.0,14000000000000.0,16862815.97,15061546.24,16677715.47,26218034.0,340000000.0,382000000.0,2.04
8177.17,1400000.0,13000000000000.0,16864704.3,15062841.41,16673499.84,26015599.0,283000000.0,467000000.0,1.71
8654.31,1600000.0,14000000000000.0,16866780.33,15065101.55,16686727.0,25788104.0,238000000.0,271000000.0,2.15
8606.44,1400000.0,14000000000000.0,16868832.31,15067292.3,16684179.36,25606839.0,276000000.0,225000000.0,2.18
9088.94,1900000.0,15000000000000.0,16871070.74,15069678.43,16697508.67,25371960.0,316000000.0,393000000.0,2.29
9829.02,2600000.0,16000000000000.0,16872709.09,15070798.05,16715882.64,25280720.0,349000000.0,339000000.0,2.27
10011.21,1800000.0,16000000000000.0,16874676.82,15071783.24,16718769.78,25153428.0,370000000.0,421000000.0,2.14
10697.27,2200000.0,18000000000000.0,16876540.54,15074337.52,16728147.3,25015569.0,249000000.0,218000000.0,1.99
10704.5,2800000.0,18000000000000.0,16878566.87,15076102.6,16724699.14,24879622.0,433000000.0,470000000.0,1.86
10922.25,2000000.0,18000000000000.0,16880593.47,15078059.67,16733002.83,24696429.0,307000000.0,381000000.0,2.22
11475.18,2700000.0,19000000000000.0,16882357.35,15080496.98,16735964.03,24658006.0,420000000.0,351000000.0,2.25
10780.29,3300000.0,18000000000000.0,16884471.21,15082107.84,16731097.48,24647292.0,411000000.0,346000000.0,2.41
10198.95,3000000.0,17000000000000.0,16886334.81,15084305.89,16716944.38,24669346.0,336000000.0,264000000.0,2.11
10008.61,2400000.0,16000000000000.0,16888186.46,15087018.71,16734001.55,24593834.0,416000000.0,346000000.0,2.09
9912.56,2000000.0,16000000000000.0,16890000.28,15087975.82,16723001.56,24416527.0,218000000.0,193000000.0,1.77
9575.38,1300000.0,16000000000000.0,16892138.08,15089374.72,16724388.89,24417382.0,197000000.0,153000000.0,1.67
10004.08,2000000.0,16000000000000.0,16893901.41,15090477.82,16743189.01,24387693.0,336000000.0,285000000.0,2.22
10586.3,1800000.0,17000000000000.0,16895902.03,15092957.24,16748012.29,24403846.0,347000000.0,352000000.0,2.49
10642.32,1900000.0,18000000000000.0,16897840.52,15093712.12,16746674.54,24294733.0,382000000.0,400000000.0,2.2
10698.53,1600000.0,18000000000000.0,16899903.63,15097345.15,16755097.07,24236321.0,420000000.0,268000000.0,2.74
10991.18,1500000.0,18000000000000.0,16901854.11,15100333.03,16757946.43,24224408.0,317000000.0,258000000.0,2.23
11352.63,1500000.0,19000000000000.0,16904104.68,15102066.49,16763969.45,23929352.0,216000000.0,225000000.0,2.08
11257.16,1300000.0,19000000000000.0,16905955.08,15104424.94,16766012.89,23680353.0,217000000.0,194000000.0,1.79
11532.77,1400000.0,19000000000000.0,16907818.73,15106454.79,16768423.39,23504940.0,355000000.0,317000000.0,2.38
10983.52,2100000.0,18000000000000.0,16909769.57,15108310.47,16762935.77,23332982.0,304000000.0,280000000.0,2.42
10172.77,3000000.0,17000000000000.0,16911733.33,15109744.31,16747973.43,23085266.0,325000000.0,353000000.0,2.46
9629.15,2500000.0,16000000000000.0,16913759.79,15113988.68,16744130.7,22782380.0,272000000.0,445000000.0,2.2
8868.35,3300000.0,15000000000000.0,16915589.01,15115405.69,16744983.07,22584732.0,408000000.0,419000000.0,2.34
9212.86,1900000.0,15000000000000.0,16917339.71,15117451.71,16742170.28,22277527.0,144000000.0,191000000.0,1.73
9122.99,2300000.0,15000000000000.0,16919252.74,15120023.76,16752926.37,21914387.0,229000000.0,203000000.0,1.82
9372.88,2300000.0,15000000000000.0,16921265.83,15121494.33,16751365.75,21674808.0,219000000.0,246000000.0,2.14
9151.27,1900000.0,15000000000000.0,16923244.12,15126402.12,16753961.9,21502357.0,278000000.0,275000000.0,2.31
8594.03,2400000.0,14000000000000.0,16925045.01,15129209.19,16743647.46,21520765.0,370000000.0,255000000.0,2.23
8074.44,2400000.0,13000000000000.0,16926846.82,15130419.82,16746235.74,21542717.0,331000000.0,315000000.0,2.33
8309.71,1700000.0,14000000000000.0,16928797.73,15133173.28,16749806.06,21583067.0,213000000.0,231000000.0,2.18
8037.18,1400000.0,13000000000000.0,16930660.58,15134683.16,16744324.58,21616702.0,145000000.0,152000000.0,1.75
7688.08,2400000.0,13000000000000.0,16932549.13,15136327.8,16750321.1,21636205.0,279000000.0,157000000.0,1.9
8374.82,2300000.0,14000000000000.0,16934487.21,15139613.91,16757281.6,21647424.0,338000000.0,218000000.0,2.24
8661.81,1900000.0,14000000000000.0,16936075.28,15142104.91,16762630.32,21678317.0,258000000.0,279000000.0,2.24
8968.51,1700000.0,15000000000000.0,16937975.68,15144013.26,16764247.42,21705504.0,266000000.0,244000000.0,2.31
8742.96,1700000.0,14000000000000.0,16939763.66,15144931.11,16764246.39,21707564.0,212000000.0,228000000.0,2.09
8525.24,1500000.0,14000000000000.0,16941426.49,15147053.42,16766999.19,21678259.0,220000000.0,230000000.0,2.05
8827.17,1300000.0,15000000000000.0,16943376.73,15148630.17,16766769.95,21646646.0,181000000.0,149000000.0,1.84
8517.39,1000000.0,14000000000000.0,16945064.49,15150869.21,16766184.96,21647146.0,110000000.0,128000000.0,1.59
8148.58,1800000.0,13000000000000.0,16946939.97,15152423.14,16763987.5,21641318.0,265000000.0,239000000.0,2.17
7951.92,1500000.0,13000000000000.0,16948841.43,15153640.39,16762323.42,21599251.0,193000000.0,185000000.0,2.15
7922.35,1100000.0,13000000000000.0,16950529.35,15155644.64,16765142.2,21610911.0,192000000.0,348000000.0,2.1
